holdid;userid;bookid;holddate
1;1;1;01-01-2024
2;2;2;02-01-2024
3;3;3;03-01-2024
4;4;4;04-01-2024
5;5;5;05-01-2024
6;6;6;06-01-2024
7;7;7;07-01-2024
8;8;8;08-01-2024
9;9;9;09-01-2024
10;10;10;10-01-2024
11;11;11;11-01-2024
12;12;12;12-01-2024
13;13;13;13-01-2024
14;14;14;14-01-2024
15;15;15;15-01-2024
16;16;16;16-01-2024
17;17;17;17-01-2024
18;18;18;18-01-2024
19;19;19;19-01-2024
20;20;20;20-01-2024
21;21;21;21-01-2024
22;22;22;22-01-2024
23;23;23;23-01-2024
24;24;24;24-01-2024
25;25;25;25-01-2024
